"","gene_id","n"
"795","ENSG00000128739",4
"796","ENSG00000128872",4
"797","ENSG00000128989",4
"798","ENSG00000129084",4
"799","ENSG00000129244",2
"800","ENSG00000129355",4
"801","ENSG00000129538",4
"802","ENSG00000129559",4
"803","ENSG00000129562",3
"804","ENSG00000129625",4
"805","ENSG00000129636",4
"806","ENSG00000129682",4
"807","ENSG00000129757",2
"808","ENSG00000129990",4
"809","ENSG00000130005",2
"810","ENSG00000130066",2
"811","ENSG00000130175",3
"812","ENSG00000130203",4
"813","ENSG00000130208",4
"814","ENSG00000130222",2
"815","ENSG00000130226",4
"816","ENSG00000130255",4
"817","ENSG00000130294",4
"818","ENSG00000130382",2
"819","ENSG00000130414",2
"820","ENSG00000130477",4
"821","ENSG00000130511",4
"822","ENSG00000130520",2
"823","ENSG00000130522",4
"824","ENSG00000130540",4
"825","ENSG00000130558",4
"826","ENSG00000130638",4
"827","ENSG00000130643",4
"828","ENSG00000130714",3
"829","ENSG00000130720",2
"830","ENSG00000130723",2
"831","ENSG00000130725",3
"832","ENSG00000130731",4
"833","ENSG00000130748",4
"834","ENSG00000130770",4
"835","ENSG00000130787",2
"836","ENSG00000130822",4
"837","ENSG00000130985",2
"838","ENSG00000131018",4
"839","ENSG00000131051",2
"840","ENSG00000131089",4
"841","ENSG00000131095",4
"842","ENSG00000131100",4
"843","ENSG00000131116",2
"844","ENSG00000131143",4
"845","ENSG00000131165",2
"846","ENSG00000131174",4
"847","ENSG00000131188",3
"848","ENSG00000131437",4
"849","ENSG00000131469",4
"850","ENSG00000131495",3
"851","ENSG00000131507",4
"852","ENSG00000131584",2
"853","ENSG00000131711",4
"854","ENSG00000131828",2
"855","ENSG00000131966",2
"856","ENSG00000132002",2
"857","ENSG00000132294",4
"858","ENSG00000132329",3
"859","ENSG00000132341",4
"860","ENSG00000132359",2
"861","ENSG00000132432",3
"862","ENSG00000132434",2
"863","ENSG00000132463",2
"864","ENSG00000132471",4
"865","ENSG00000132475",4
"866","ENSG00000132507",2
"867","ENSG00000132535",4
"868","ENSG00000132563",4
"869","ENSG00000132639",4
"870","ENSG00000132640",4
"871","ENSG00000132670",4
"872","ENSG00000132702",4
"873","ENSG00000132718",4
"874","ENSG00000132821",4
"875","ENSG00000132824",4
"876","ENSG00000132872",4
"877","ENSG00000132879",4
"878","ENSG00000132932",2
"879","ENSG00000132963",2
"880","ENSG00000133026",3
"881","ENSG00000133030",2
"882","ENSG00000133083",4
"883","ENSG00000133112",4
"884","ENSG00000133134",4
"885","ENSG00000133142",2
"886","ENSG00000133169",4
"887","ENSG00000133243",2
"888","ENSG00000133318",4
"889","ENSG00000133424",3
"890","ENSG00000133612",4
"891","ENSG00000133627",4
"892","ENSG00000133639",2
"893","ENSG00000133687",2
"894","ENSG00000133816",4
"895","ENSG00000133835",3
"896","ENSG00000133872",4
"897","ENSG00000133878",3
"898","ENSG00000134072",4
"899","ENSG00000134108",2
"900","ENSG00000134121",4
"901","ENSG00000134243",4
"902","ENSG00000134248",3
"903","ENSG00000134265",4
"904","ENSG00000134287",4
"905","ENSG00000134308",4
"906","ENSG00000134318",2
"907","ENSG00000134333",4
"908","ENSG00000134375",4
"909","ENSG00000134419",4
"910","ENSG00000134443",2
"911","ENSG00000134590",4
"912","ENSG00000134644",2
"913","ENSG00000134769",4
"914","ENSG00000134780",2
"915","ENSG00000134825",3
"916","ENSG00000134851",3
"917","ENSG00000134982",4
"918","ENSG00000134986",3
"919","ENSG00000135002",4
