"","gene_id","gene_name","overall_rank","average_rank","n_withinTop2000"
"ENSG00000152137","ENSG00000152137","HSPB8",736,1002.75,4
"ENSG00000240694","ENSG00000240694","PNMA2",737,1003.25,4
"ENSG00000119280","ENSG00000119280","C1orf198",738,1006.5,4
"ENSG00000198598","ENSG00000198598","MMP17",739,1008.25,4
"ENSG00000136717","ENSG00000136717","BIN1",740,1008.75,4
"ENSG00000174460","ENSG00000174460","ZCCHC12",741,1009.75,4
"ENSG00000254092","ENSG00000254092","AC021613.1",742,1012,3
"ENSG00000112695","ENSG00000112695","COX7A2",743,1013.25,3
"ENSG00000211584","ENSG00000211584","SLC48A1",744,1014.25,4
"ENSG00000163453","ENSG00000163453","IGFBP7",745,1015,3
"ENSG00000171867","ENSG00000171867","PRNP",746,1015.5,4
"ENSG00000134443","ENSG00000134443","GRP",747,1016,4
"ENSG00000130294","ENSG00000130294","KIF1A",748,1017,3
"ENSG00000141338","ENSG00000141338","ABCA8",749,1017.5,4
"ENSG00000111726","ENSG00000111726","CMAS",750,1018.75,4
"ENSG00000135625","ENSG00000135625","EGR4",752,1019,3
"ENSG00000026508","ENSG00000026508","CD44",752,1019,4
"ENSG00000126247","ENSG00000126247","CAPNS1",752,1019,4
"ENSG00000113494","ENSG00000113494","PRLR",754,1019.25,3
"ENSG00000165424","ENSG00000165424","ZCCHC24",755,1020.5,4
"ENSG00000106624","ENSG00000106624","AEBP1",756.5,1023,4
"ENSG00000187664","ENSG00000187664","HAPLN4",756.5,1023,4
"ENSG00000152689","ENSG00000152689","RASGRP3",758,1024.25,4
"ENSG00000091428","ENSG00000091428","RAPGEF4",759,1025,4
"ENSG00000165502","ENSG00000165502","RPL36AL",760,1025.5,4
"ENSG00000141934","ENSG00000141934","PLPP2",761,1025.75,4
"ENSG00000147604","ENSG00000147604","RPL7",762,1030,4
"ENSG00000177432","ENSG00000177432","NAP1L5",763,1030.25,4
"ENSG00000168653","ENSG00000168653","NDUFS5",764,1032.25,4
"ENSG00000164687","ENSG00000164687","FABP5",765,1034.25,3
"ENSG00000126822","ENSG00000126822","PLEKHG3",766,1034.5,4
"ENSG00000179403","ENSG00000179403","VWA1",767,1035.5,4
"ENSG00000131386","ENSG00000131386","GALNT15",768,1036.5,4
